name,class,hasJson,train
nm-jqj186r52x,1,1,1
nm-JQJAHQ111,1,1,1
nm-JQJAHQ112,1,1,0
nm-JQJAHQ119,1,1,1
nm-JQJAHQ120,1,1,1
nm-jsd7384m,1,1,0
nm-jsdkfj32,1,1,1
nm-kdjhcp09fz,1,1,1
nm-Keichinm1,1,1,1
nm-Keichinm2,1,1,1
nm-Keichinm3,1,1,1
nm-kji2wu2wu,1,1,0
nm-kjslkk2189,1,1,1
nm-kzxjhvkjsdn,1,1,0
nm-lf9hk7ar7v,1,1,1
nm-liplkp,1,1,1
nm-lksfdj34dkfo,1,1,0
nm-lsjd29odhe,1,1,0
nm-m1fbovj1bv,1,1,0
nm-mvqgzj090756,1,1,1
nm-naude5189sc,1,1,1
nm-nqiow,1,1,1
nm-ntu48,1,1,1
nm-o983fh,1,1,1
nm-oeecwutp3o,1,1,1
nm-okok223,1,1,1
nm-ou8z67s5g5,1,1,1
nm-pcmnba15793,1,1,1
nm-pgj466,1,1,1
nm-powfc74686,1,1,1
nm-ppop0910,1,1,1
nm-qty729jk,1,1,1
nm-qwalan23879,1,1,1
nm-qwalan24923,1,1,1
nm-qwalan49347,1,1,0
nm-qwalan62837,1,1,1
nm-rhn55895446,1,1,1
nm-sahw7hs528sj,1,1,1
nm-shfiuh9840,1,1,1
nm-shudhuifhunfe,1,1,1
nm-sj481,1,1,1
nm-sjc8349a,1,1,1
nm-sjfuhn3371,1,1,1
nm-sjhcnh6635,1,1,1
nm-sjile2345h,1,1,1
nm-skqa1201,1,1,1
nm-stu367,1,1,1
nm-suckncek49,1,1,0
nm-suidhf333ss,1,1,0
nm-svh467,1,1,1
nm-tcrd422,1,1,0
nm-tjcvbui78580,1,1,0
nm-trut9vmf,1,1,1
nm-tvcj8961,1,1,1
nm-U2FsdGVk,1,1,0
nm-U2U2uAk43PywEGnyPPWX4,1,1,1
nm-udh23du3,1,1,0
nm-ueiuer5468,1,1,1
nm-Up3r8T8hQR5i4En0,1,1,1
nm-uq3trf3q,1,1,1
nm-uy38ewohdsujn8,1,1,1
nm-v31g31nv,1,1,1
NM-v55RkEu4QVCMMp,1,1,1
nm-vgha6s1d6a1s1,1,1,1
nm-vhukb3608737,1,1,0
nm-vt5dy7r,1,1,0
nm-vxxvxa5xd,1,1,0
nm-vyty910,1,1,1
NM-waUrNZ7gj65PMZ,1,1,1
nm-wqqrqr8745,1,1,1
nm-wtg738kl1z,1,1,1
NM-WWBUu4byvMjHn5,1,1,1
nm-xiazai24665,1,1,1
nm-xiazai92745,1,1,1
nm-xjc3za4cot,1,1,1
nm-xtz192810551,1,1,1
nm-xtz192810553,1,1,1
nm-xtz192810554,1,1,0
NM-Y1RjGpYeslk3Nf,1,1,0
nm-yd872si2si3j,1,1,1
nm-yidg2d71,1,1,1
nm-YZevHw02yieMGsgY,1,1,1
nm-yzxr56vaxd,1,1,0
nm-zijipai329832,1,1,1
nm-zijipai798734,1,1,1
nm-zxvzzx,1,1,1
sjz-020c747ed9db,2,1,1
SJZ-0328fy29754rhc8y2gv642,2,1,0
sjz-06371995c0f8294c338d8f159,2,1,1
sjz-08scoufhwe,2,1,1
sjz-0bdagflvpl,2,1,1
sjz-0k89fuc8ej3jc8zjw,2,1,1
SJZ-1,2,1,0
sjz-106ce9bb,2,1,1
SJZ-10y83jnh,2,1,1
sjz-1109193225,2,1,1
sjz-1109194111,2,1,0
sjz-1112c574f4735c1eccfba03663bbd41227,2,1,0
sjz-123jfjfdjd,2,1,1
sjz-13s56d8,2,1,1
SJZ-13y9ghieonr89,2,1,1
sjz-14067d6c1f8,2,1,1
sjz-144707917396764354,2,1,0
sjz-1543gvrrj,2,1,1
SJZ-16849164ffaghg,2,1,1
sjz-18281166p1,2,1,1
sjz-18281166p2,2,1,1
sjz-185kw74nsl,2,1,1
SJZ-18ghubnj,2,1,1
SJZ-192812471,2,1,1
SJZ-192812472,2,1,0
sjz-19281272cwxx,2,1,0
sjz-19291255zyw50,2,1,1
sjz-19291255zyw51,2,1,1
sjz-19291255zyw52,2,1,1
sjz-19291255zyw53,2,1,1
sjz-1ad8f859b9b2d7027b4b2,2,1,1
sjz-1w9wlokpic,2,1,0
SJZ-2,2,1,1
sjz-20211103155424,2,1,1
sjz-20211103155434,2,1,1
sjz-20211107-153839,2,1,1
sjz-20211107-153925,2,1,1
sjz-2111092329rew20_gai_760x1013,2,1,1
sjz-2228319ced205fc95aa0edc92976491e23,2,1,1
sjz-245heg8shf,2,1,0
sjz-25081048,2,1,1
sjz-25abc72b,2,1,1
sjz-27581f7f,2,1,1
sjz-28188ec73c70a1887931650cc6d9912c,2,1,1
sjz-2a5c90547d7f957edfa684ef69a279a134e6b15f8b7910a6e99e9007d923f1ce,2,1,1
sjz-2h9vtjfnuixjktcwehuisd,2,1,1
SJZ-3,2,1,1
sjz-31fgdhjsa,2,1,0
sjz-31t4ybrtn41yr4n6,2,1,1
SJZ-328794g5t6r8f3hnc128ry4vgv4,2,1,0
SJZ-333125988523751282842788,2,1,1
sjz-333ef93fd610b592029037bfe69edf7ed9,2,1,1
sjz-340e7defac17c8,2,1,0
sjz-346964onheam,2,1,1
sjz-348fdv4,2,1,1
sjz-36dd90cf3,2,1,1
sjz-39e7cf398625ea38c0456b15eb417fd0,2,1,0
sjz-3ad1593997758f6a757a,2,1,1
SJZ-4,2,1,1
sjz-411ad87f5996ee5a24d1f3f9e3500df4c7af5827eadc79ed4976c35ebc9fca89,2,1,1
SJZ-412623247948575289905944,2,1,1
sjz-418ab6agsx,2,1,1
sjz-4359ufoas,2,1,1
sjz-455fd,2,1,1
SJZ-459394004151,2,1,0
SJZ-471843080943,2,1,1
sjz-4b26da18ebf5d491b99e31b9a355dc9,2,1,1
sjz-4jf813,2,1,1
sjz-4wgmvyuu8,2,1,1
SJZ-528434756758438643938214,2,1,1
sjz-532c7a06,2,1,1
sjz-53gk9nnpw2,2,1,0
sjz-54dytdu,2,1,1
sjz-5720ff1d918c75fbd32ce1c9e9136bd52a837e78ae987edbd4357d3b0d789f5b,2,1,1
sjz-57fn4ovoa,2,1,0
sjz-5dfdaeqczxe25f0be953005ea41,2,1,1
sjz-5f5d5g4,2,1,1
sjz-5fhg54,2,1,1
SJZ-61725212289434473150440,2,1,1
sjz-61vt6h84vrs4,2,1,1
sjz-630469898318991681,2,1,1
sjz-645dfsf,2,1,1
SJZ-652481213026325382491357,2,1,1
sjz-65GTr,2,1,0
sjz-65nh6hnn6fh12,2,1,1
sjz-68a4173d2420e4d520,2,1,1
sjz-6a6c178623bc12ddd6ba4907fd5eee92,2,1,1
sjz-6lcbsob3gj,2,1,1
sjz-6s516s5bsb65gbgbs1,2,1,1
sjz-712548442385119330,2,1,1
SJZ-778481991364930621097196,2,1,1
sjz-7bb8dc9f702c8f64d854710591365ba,2,1,1
sjz-7dhfw47,2,1,1
sjz-839rt8762t8i,2,1,1
sjz-87a7dh87862ihc,2,1,0
sjz-8qnj6543bb,2,1,1
sjz-8sahj8dsafd,2,1,1
sjz-90wensdu283esdfewhdwe,2,1,1
sjz-921566082258645271,2,1,0
SJZ-93t71y4ghuib,2,1,1
sjz-98ujkln23rw,2,1,1
sjz-9fs9sd86wew,2,1,0
sjz-9wjsirhbiehd3s,2,1,1
sjz-_20211109232806d701x934,2,1,0
sjz-a59b3d9dbd,2,1,1
SJZ-ae67hqg93rhg962,2,1,1
sjz-akgr2743s,2,1,1
sjz-asjdajdne,2,1,0
sjz-asjhdug90q7w98,2,1,1
sjz-b73ee750,2,1,1
sjz-b783ht4rfe,2,1,0
SJZ-BDFKV0GOfROqJF,2,1,0
sjz-bfy37ryc,2,1,0
sjz-bhkdsa4cs,2,1,1
sjz-bhsd584cds,2,1,0
sjz-c0521feecec84bbd9b49e2f6ee331e42,2,1,0
sjz-c5b3b6bc3cfd5a58e03a6c42ee08c3a,2,1,0
sjz-cgj787,2,1,1
sjz-d7f454g,2,1,0
sjz-dhbgaucdy5,2,1,1
sjz-dhunwy9826,2,1,1
sjz-dkufyvgk7576970,2,1,1
sjz-dos8931h,2,1,1
sjz-dqueie1234,2,1,0
sjz-E2Ysq,2,1,1
sjz-ebe87d5c3ae2ff61b35c202ddad60d4fd7015dd653782ac3eaf29a2b295240eb,2,1,1
sjz-edcd3b11,2,1,1
sjz-epqac84314,2,1,1
sjz-evu8iafsrc,2,1,1
sjz-ewgqgqdua,2,1,1
sjz-export1636435853465,2,1,1
sjz-export1636435854391,2,1,0
sjz-export1636435855252,2,1,1
sjz-f1590da6bbef3e7d5d491a6c,2,1,0
sjz-fa6c1a65ass,2,1,1
sjz-fdj894j48,2,1,1
sjz-fhfgj1,2,1,1
sjz-fhfgj2,2,1,1
sjz-fof17,2,1,1
sjz-fufyui95450923,2,1,1
sjz-fuhu332jkd9,2,1,1
sjz-fyuflhn75648597,2,1,0
sjz-g7g32ejd328,2,1,1
sjz-gr51d67zd5,2,1,0
sjz-gr79489779,2,1,1
SJZ-gshuis565841,2,1,1
sjz-hfakdsj2,2,1,1
sjz-hfeiuw3482,2,1,1
sjz-hfuiac82467,2,1,1
sjz-hg894919,2,1,1
SJZ-HiGsoapHkOO2wG,2,1,1
sjz-hsjdhxhsa,2,1,1
sjz-ijuu4843hgui,2,1,1
sjz-j6ufj1,2,1,1
sjz-jd8923yrhidkf,2,1,1
sjz-JQJQHA113,2,1,1
sjz-JQJQHA114,2,1,0
sjz-JQJQHA115,2,1,1
sjz-JQJQHQ116,2,1,1
sjz-jsjhu96jsh08,2,1,1
sjz-juesxy2756,2,1,1
sjz-kcrvbul36859147,2,1,1
sjz-kdkk55,2,1,0
sjz-Keichisjz1,2,1,1
sjz-Keichisjz2,2,1,1
sjz-kkui1271,2,1,0
sjz-kojd68,2,1,1
sjz-l573aer64h,2,1,1
sjz-l58kf7sup3,2,1,1
sjz-LDOAy5ogSsoSmAyS,2,1,1
sjz-lka456d9,2,1,1
sjz-lpub7687,2,1,1
sjz-mxcgfr09384,2,1,0
sjz-o4k7a7z553,2,1,0
sjz-oi58sdh45q,2,1,1
sjz-oi84hetyu5,2,1,1
sjz-opodam222,2,1,0
sjz-po4pjg68sd,2,1,0
sjz-Q1gHXhdfKTiQp70v,2,1,1
SJZ-qcef3918h32f29h83h,2,1,0
sjz-qfwvn,2,1,1
sjz-qres9879,2,1,0
sjz-qwalan09289,2,1,1
sjz-qwalan12394,2,1,1
sjz-qwalan82632,2,1,1
sjz-qwfqe,2,1,1
sjz-qwqef,2,1,1
sjz-qwqwebi,2,1,1
sjz-rhqiqdsada,2,1,0
SJZ-SBSewtaXT4z4y1,2,1,1
sjz-sc3jte9qv0,2,1,1
sjz-sdjiwei849,2,1,1
sjz-sfg568,2,1,1
sjz-sihfuj6372,2,1,1
sjz-sjehud76846,2,1,1
sjz-tnawo5hmv0,2,1,1
sjz-toihport,2,1,1
sjz-tw7ojbzpj7,2,1,1
sjz-u65fuyrdy,2,1,1
sjz-udc098kmff,2,1,1
sjz-uuup23,2,1,1
sjz-v6ascs56axx,2,1,1
sjz-vaocka561ss,2,1,1
sjz-vcg875,2,1,1
sjz-vsjvo435x,2,1,1
sjz-vus12d7kop,2,1,1
sjz-vxzkjld3,2,1,1
sjz-w700h350z,2,1,0
sjz-wefwepidefo8,2,1,1
sjz-whzw2563d,2,1,1
sjz-xgyjia1256,2,1,1
sjz-xhfuh46813,2,1,1
sjz-xiazai26486,2,1,1
sjz-xiazai297459,2,1,0
sjz-xtz192810551,2,1,1
sjz-xtz192810553,2,1,0
sjz-xtz192810554,2,1,0
sjz-xvf778,2,1,1
sjz-y6FA4h,2,1,1
sjz-ygyd7Y,2,1,1
sjz-yh38348hht,2,1,0
sjz-z84astnclq,2,1,1
sjz-zijipai29429,2,1,0
sjz-zijipai79424,2,1,1
SJZ-ZUI6mg0lzviUeN,2,1,0
sjz-zxckvnsad9i,2,1,1
sy-00eAHopRiAaxVITZ,3,1,1
sy-0516808af451b1e6462d79abe88f2242275a64c69a32b13721b786a6e0fa5232,3,1,1
sy-071oki8p0d,3,1,1
sy-09232756_adfvuk_767x1023,3,1,1
sy-0efebe12db8ba11d0e92eedd860db203fed97a9f8abdb0f6f1af2f9f46794e89,3,1,1
sy-0iz211h667,3,1,1
SY-1,3,1,1
sy-111222bb5d9106acc42e64c4ee250972e4,3,1,1
SY-128fb1374fbce318g,3,1,1
sy-13461dacsasxx,3,1,1
sy-1636465091(1)_gaijrez951x623,3,1,1
SY-1645F1S61,3,1,1
sy-18281166p1,3,1,0
sy-18281166p2,3,1,1
sy-1902ouanbao,3,1,1
sy-1921133201,3,1,1
sy-1921133202,3,1,1
sy-1921133203,3,1,1
sy-1921133204,3,1,1
SY-192812471,3,1,1
SY-192812472,3,1,1
sy-19281272cwxx,3,1,1
sy-19291255zyw10,3,1,1
sy-19291255zyw11,3,1,1
sy-19291255zyw12,3,1,1
sy-19291255zyw13,3,1,1
sy-1a2ab7834ba5d,3,1,1
sy-1c4b438d2cdc58e29cf8322335ce469,3,1,1
SY-1f5asf161f6,3,1,1
sy-1id8atffb2qr1,3,1,0
SY-2,3,1,1
sy-20211103155404,3,1,0
sy-20211103155416,3,1,0
SY-20211104175207,3,1,1
SY-20211104175218,3,1,1
sy-20211107-153012,3,1,1
sy-20211107-153439,3,1,1
sy-20211109232956_uyeo_1024x768,3,1,1
sy-20211109_afergh13hs326,3,1,1
sy-2224365d838df6179ab54c47d6b128be5b,3,1,1
sy-246620hpkpow,3,1,1
sy-2651a7b257,3,1,1
sy-27123987a5ef2,3,1,1
sy-27c015f37a9f4a50b21f84675097cd2a5e6442c46222ddc87b3da1dbe68cf1bb,3,1,1
sy-2a31d7,3,1,1
sy-2ndsc320,3,1,1
SY-3,3,1,1
sy-3201715f27aa,3,1,1
sy-321223596907213653,3,1,1
SY-325919688834047231470133-,3,1,1
sy-32b014925750a4a1019db3e0347d917b,3,1,1
sy-333c96b7197890215cbb2eeccfec9c7475,3,1,1
sy-334648472506586651,3,1,1
SY-338835335481788914685884,3,1,1
sy-35fa1891d45f948c35e9b9365b6886d3,3,1,0
SY-364004894508714210551783,3,1,1
SY-37842yfhr75vbr8g2,3,1,1
sy-3898hdjsk,3,1,1
sy-3950qc8ne0,3,1,1
sy-3d4632a31881811f6cb6a73c162ab0790795e77870a07b5360673c24bb8e9da0,3,1,1
sy-3ff20028,3,1,1
SY-3g7rh5297h9256h,3,1,1
SY-4,3,1,0
SY-4297yhuwh2j,3,1,0
sy-43236opxnqhg,3,1,1
sy-43403f2b9e1469bd027d6b327a13217,3,1,1
sy-435t98ujgds,3,1,1
sy-4398ogfjd,3,1,1
sy-4398ugoij,3,1,1
sy-43gdfjns,3,1,1
sy-444cab04240872dcb6f5aed80533a7b7b4,3,1,1
sy-45gf5b4df,3,1,1
sy-495106419885999853,3,1,0
SY-497597020118,3,1,1
sy-4bed8dfb5e,3,1,0
sy-4vltgq97e3,3,1,1
sy-54e7279f81650225dd4078e849b53c3,3,1,0
sy-54gd,3,1,1
sy-56n4d64tscxx,3,1,1
sy-5jo1f,3,1,1
sy-5rf5yd,3,1,1
sy-5s6d5,3,1,1
sy-5ttgvvcdxs,3,1,1
sy-60ffb8ff,3,1,1
sy-64ca6c4ass,3,1,1
sy-6609c93d,3,1,1
sy-66fu5e,3,1,1
sy-68465fsbijfgjsd,3,1,1
sy-6f9c897b,3,1,0
sy-72uhwesd89qwydfi,3,1,1
SY-730375116872879209243701,3,1,1
SY-738fhc9832g6b39,3,1,1
SY-750301370122,3,1,1
sy-75040b91eefbe248f63189a75da,3,1,0
SY-752247676797976712177013,3,1,1
sy-7524d580,3,1,0
sy-798902908775831367,3,1,1
sy-7b262c5ca,3,1,1
sy-824hkjdhr13d,3,1,1
sy-878909876543bv,3,1,1
sy-8h4bt198y14bh1,3,1,1
sy-8u8jirjjir,3,1,1
sy-912521oivnasfaw,3,1,1
sy-953dasder,3,1,1
SY-989861970348645964263141,3,1,1
sy-998hjer5tg,3,1,1
sy-9cfno,3,1,1
sy-9de96e1a3becfcbdf,3,1,1
sy-9uldjwn20a,3,1,1
sy-a2021e1109f_102026,3,1,1
sy-a2021e1109f_130357,3,1,1
sy-a23e66076f7dcda4c92f633e54bfcbeef3204f592833a820040cf21052a1819d,3,1,1
sy-a574715611785d5333571b4bed8dfb5e,3,1,1
sy-ab99c2d056a72d1070b880480874e62b,3,1,1
sy-abrx2654g,3,1,1
sy-akjdh12f3,3,1,0
sy-alhvbi6482,3,1,0
sy-asdfioad2,3,1,1
sy-ashdiuwnm,3,1,0
sy-asjdiu82uh1,3,1,1
sy-b26dc303,3,1,0
sy-b26dc303392f24f8dcb48461abe12f40_r,3,1,1
sy-b80c6a326db5b4c6b07o_939x531,3,1,1
sy-b89hri45fv,3,1,1
sy-bdkgnfob,3,1,1
sy-bgijbn,3,1,1
SY-bOwtSkXTcvOHi1,3,1,1
sy-by57e6ej0o,3,1,1
sy-bzgdm244556,3,1,1
sy-c0679ea31,3,1,1
sy-c8ee2673eb22fd5a,3,1,1
sy-cbg688,3,1,1
sy-cbsh5,3,1,1
sy-cdef1234,3,1,1
sy-cdef1235,3,1,0
sy-cdef1236,3,1,1
sy-cfg536,3,1,0
sy-cjdslaic5d,3,1,1
sy-cjdx3367q,3,1,0
sy-cjshe518vd,3,1,1
sy-cnny7587,3,1,1
sy-d15c5af4,3,1,1
sy-d561b4a0c631,3,1,1
sy-d71dd29a2803babc6b24d45758783924470f4eca89dc09e992cb65683c06938d,3,1,1
sy-d928fbe6a7ded4e37f25c273431adce,3,1,1
sy-dhadhbqiuw,3,1,1
sy-dj9q2j8e,3,1,0
sy-djeb1574,3,1,1
sy-djfldskgj1,3,1,0
sy-djfldskgj2,3,1,1
sy-djfldskgj3,3,1,1
sy-djfldskgj4,3,1,1
sy-djl582,3,1,1
sy-djocos9827,3,1,1
sy-dtey78jhg4,3,1,0
sy-dtudty6d5x,3,1,1
sy-duhuihfuf2224,3,1,1
sy-e8510c8da891059add1226d7e09405f8b37138c23abc2d54c25ccdfd9f809c63,3,1,1
sy-e9c526c9909ddbe5c6a676d65,3,1,1
sy-eawhc0ks2l,3,1,1
sy-ec9cd526,3,1,1
sy-edlwgcnltg,3,1,1
sy-ef56fe8wf98w,3,1,1
sy-eh984sk,3,1,0
sy-export1636281948685,3,1,1
sy-export1636435844089,3,1,0
sy-export1636435845135,3,1,0
sy-export1636435849367,3,1,1
sy-export1636435856338,3,1,1
sy-export1636435858407,3,1,1
sy-f1984gdawq,3,1,1
sy-f5x4g5,3,1,1
sy-fasdfaf32,3,1,1
sy-fb79f550daseqacgfhqer40617f978966,3,1,1
sy-fgukut657gi,3,1,1
sy-fhjqn873h,3,1,0
sy-figh48384,3,1,1
sy-fikblhjoiu459782,3,1,1
sy-fjiuwje378,3,1,1
sy-fsfs456468,3,1,1
sy-g28vnfd,3,1,0
sy-gb8q37jeza,3,1,0
sy-gfytfg4yf,3,1,1
sy-ggku4421,3,1,0
sy-ghg868,3,1,1
sy-gjdkq200931,3,1,0
sy-gq5ok7ovi4,3,1,0
SY-gqh91388109hjbi,3,1,1
sy-gskiw72nx6,3,1,1
sy-gvgtder5,3,1,1
sy-gyh9783w12,3,1,1
sy-gyugy6955860,3,1,1
sy-h01h8,3,1,1
sy-hcsz3754g,3,1,1
sy-hdsjshk231,3,1,1
sy-hduaigdud,3,1,1
sy-hjd989,3,1,1
sy-hldfse45uh,3,1,1
sy-htcuv5ew0m,3,1,1
sy-ikb798980,3,1,1
sy-izzzehmm73,3,1,0
sy-j6u2j,3,1,1
SY-J9lduSOiQId3Tt,3,1,1
sy-ja443iausd,3,1,1
sy-jfdiewj984,3,1,1
sy-jhdc56,3,1,1
sy-jjhfb87,3,1,1
sy-jklw545,3,1,1
sy-jod892y3iur3bkwjenf,3,1,1
sy-JQJAHQ121,3,1,1
sy-JQJAHQ122,3,1,1
sy-JQJAHQ123,3,1,1
sy-JQJAHQ124,3,1,1
sy-jvjjv554,3,1,1
sy-Keichisy3,3,1,1
sy-Keichisy4,3,1,1
sy-Keichisy6,3,1,0
sy-kHZxt5vcVFOjoYyk,3,1,1
sy-knanxa5nc,3,1,1
sy-ksbr2461,3,1,1
sy-lahuon2874,3,1,0
sy-lbuwr7bhul,3,1,1
